,Winner,Turn,Strategy,Goal
428,royalblue,36,Aggressive,BE
429,royalblue,38,Aggressive,BE
430,royalblue,33,Aggressive,BE
431,royalblue,36,Aggressive,BE
432,royalblue,40,Aggressive,BE
433,fuchsia,37,Aggressive,LA
434,royalblue,35,Aggressive,BE
435,royalblue,37,Aggressive,BE
436,royalblue,54,Aggressive,BE
437,royalblue,34,Aggressive,BE
438,royalblue,38,Aggressive,BE
439,royalblue,40,Aggressive,BE
440,black,39,Aggressive,PP
441,royalblue,36,Aggressive,BE
442,fuchsia,35,Aggressive,LA
443,fuchsia,35,Aggressive,LA
444,fuchsia,33,Aggressive,LA
445,royalblue,43,Aggressive,BE
446,royalblue,35,Aggressive,BE
447,royalblue,29,Aggressive,BE
448,fuchsia,29,Aggressive,LA
449,fuchsia,29,Aggressive,LA
450,fuchsia,33,Aggressive,LA
451,royalblue,32,Aggressive,BE
452,fuchsia,34,Aggressive,LA
453,royalblue,43,Aggressive,BE
454,royalblue,40,Aggressive,BE
455,royalblue,44,Aggressive,BE
456,black,54,Aggressive,PP
457,royalblue,46,Aggressive,BE
458,royalblue,34,Aggressive,BE
459,black,40,Aggressive,PP
460,black,54,Aggressive,PP
461,royalblue,41,Aggressive,BE
462,royalblue,34,Aggressive,BE
463,fuchsia,38,Aggressive,LA
464,fuchsia,54,Aggressive,LA
465,royalblue,34,Aggressive,BE
466,royalblue,34,Aggressive,BE
467,royalblue,30,Aggressive,BE
468,royalblue,43,Aggressive,BE
469,fuchsia,28,Aggressive,LA
470,fuchsia,41,Aggressive,LA
471,black,47,Aggressive,PP
472,fuchsia,35,Aggressive,LA
473,royalblue,34,Aggressive,BE
474,fuchsia,42,Aggressive,LA
475,royalblue,44,Aggressive,BE
476,royalblue,35,Aggressive,BE
477,royalblue,37,Aggressive,BE
478,fuchsia,37,Aggressive,LA
479,royalblue,43,Aggressive,BE
480,black,33,Aggressive,PP
481,royalblue,36,Aggressive,BE
482,royalblue,47,Aggressive,BE
483,black,39,Aggressive,PP
484,royalblue,29,Aggressive,BE
485,black,42,Aggressive,PP
486,black,51,Aggressive,PP
487,royalblue,34,Aggressive,BE
488,fuchsia,33,Aggressive,LA
489,fuchsia,41,Aggressive,LA
490,fuchsia,31,Aggressive,LA
491,royalblue,38,Aggressive,BE
492,royalblue,36,Aggressive,BE
493,fuchsia,33,Aggressive,LA
494,fuchsia,27,Aggressive,LA
495,royalblue,44,Aggressive,BE
496,royalblue,38,Aggressive,BE
497,royalblue,38,Aggressive,BE
498,black,41,Aggressive,PP
499,fuchsia,32,Aggressive,LA
500,royalblue,28,Aggressive,BE
501,royalblue,37,Aggressive,BE
502,fuchsia,38,Aggressive,LA
503,royalblue,42,Aggressive,BE
504,royalblue,38,Aggressive,BE
505,royalblue,45,Aggressive,BE
506,royalblue,37,Aggressive,BE
507,royalblue,47,Aggressive,BE
508,royalblue,41,Aggressive,BE
509,royalblue,35,Aggressive,BE
510,royalblue,36,Aggressive,BE
511,fuchsia,36,Aggressive,LA
512,royalblue,34,Aggressive,BE
513,fuchsia,31,Aggressive,LA
514,royalblue,34,Aggressive,BE
515,black,40,Aggressive,PP
516,royalblue,35,Aggressive,BE
517,royalblue,37,Aggressive,BE
518,royalblue,34,Aggressive,BE
519,royalblue,33,Aggressive,BE
520,royalblue,33,Aggressive,BE
521,royalblue,34,Aggressive,BE
522,royalblue,50,Aggressive,BE
523,royalblue,49,Aggressive,BE
524,royalblue,36,Aggressive,BE
525,royalblue,45,Aggressive,BE
526,black,51,Aggressive,PP
527,royalblue,35,Aggressive,BE
528,fuchsia,38,Aggressive,LA
529,fuchsia,29,Aggressive,LA
530,royalblue,42,Aggressive,BE
531,fuchsia,43,Aggressive,LA
532,fuchsia,39,Aggressive,LA
533,fuchsia,40,Aggressive,LA
534,royalblue,42,Aggressive,BE
535,black,34,Aggressive,PP
536,royalblue,49,Aggressive,BE
537,royalblue,34,Aggressive,BE
538,royalblue,33,Aggressive,BE
